,Provider Name,Provider City,Provider State,Provider Zip Code,Provider County Name,Ownership Type,Number of Certified Beds,Legal Business Name,Provider Changed Ownership in Last 12 Months,Overall Rating,Health Inspection Rating,QM Rating,Long-Stay QM Rating,Short-Stay QM Rating,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,Location,Processing Date
4315,PINE ACRES REHABILITATION AND CARE CENTER,WEST DES MOINES,IA,50265,Polk,For profit - Corporation,140,PINE ACRES REHABILITATION AND CARE CENTER LLC,N,2.0,2.0,2.0,2.0,3.0,4,4577.34,0,4,"1501 OFFICE PARK ROAD,WEST DES MOINES,IA,50265",01/03/2023
4316,GRISWOLD REHABILITATION & HEALTH CARE CENTER,GRISWOLD,IA,51535,Cass,For profit - Corporation,42,GRISWOLD CARE CENTER INC.,N,1.0,1.0,3.0,3.0,,3,47602.75,0,3,"106 HARRISON ST,GRISWOLD,IA,51535",01/03/2023
4317,EMMETSBURG CARE CENTER,EMMETSBURG,IA,50536,Palo Alto,For profit - Corporation,50,ABCM CORPORATION,N,5.0,5.0,2.0,1.0,3.0,0,0.0,0,0,"2405 21ST STREET,EMMETSBURG,IA,50536",01/03/2023
4318,VALLEY VUE CARE CENTER,ARMSTRONG,IA,50514,Emmet,For profit - Corporation,50,ABCM CORPORATION,N,2.0,2.0,4.0,3.0,5.0,0,0.0,0,0,"108 SECOND AVE  BOX 200,ARMSTRONG,IA,50514",01/03/2023
4319,REHABILITATION CENTER OF HAMPTON,HAMPTON,IA,50441,Franklin,For profit - Corporation,105,ABCM CORPORATION,N,5.0,5.0,3.0,1.0,5.0,0,0.0,0,0,"700 SECOND STREET SE,HAMPTON,IA,50441",01/03/2023
4320,KEOTA HEALTH CARE CENTER,KEOTA,IA,52248,Keokuk,For profit - Limited Liability company,35,OPCO KEOTA IA LLC,N,4.0,4.0,3.0,3.0,,2,1625.0,0,2,"204 NORTH KEOKUK WASHINGTON ROAD,KEOTA,IA,52248",01/03/2023
4321,VALLEY VIEW COMMUNITY,GREENE,IA,50636,Butler,For profit - Limited Liability company,31,MMS/GREENE HEALTHCARE LLC,N,2.0,2.0,4.0,4.0,,0,0.0,0,0,"108 SOUTH HIGH STREET,GREENE,IA,50636",01/03/2023
4322,AZRIA HEALTH ROSE VISTA,WOODBINE,IA,51579,Harrison,For profit - Limited Liability company,76,"DT WOODBINE, LLC",N,3.0,3.0,4.0,4.0,,1,5000.0,0,1,"1109 NORMAL STREET,WOODBINE,IA,51579",01/03/2023
4323,THOMAS REST HAVEN,COON RAPIDS,IA,50058,Carroll,For profit - Corporation,57,THOMAS REST HAVEN,N,3.0,2.0,4.0,4.0,4.0,3,30943.25,0,3,"217 MAIN STREET,COON RAPIDS,IA,50058",01/03/2023
4324,METHODIST MANOR RETIREMENT COM,STORM LAKE,IA,50588,Buena Vista,Non profit - Corporation,93,METHODIST MANOR RETIREMENT COMMUNITY,N,5.0,3.0,5.0,4.0,5.0,16,55868.8,0,16,"1206 WEST FOURTH STREET,STORM LAKE,IA,50588",01/03/2023
4325,ROLLING GREEN VILLAGE CARE CEN,NEVADA,IA,50201,Story,For profit - Corporation,69,ABCM CORPORATION,N,4.0,4.0,2.0,1.0,5.0,0,0.0,0,0,"100 SIXTH STREET,NEVADA,IA,50201",01/03/2023
4326,CLARION WELLNESS AND REHABILITATION CENTER,CLARION,IA,50525,Wright,For profit - Corporation,76,"CENTRAL AVENUE HEALTHCARE, INC.",N,1.0,1.0,4.0,4.0,3.0,3,47729.5,0,3,"110 13TH AVENUE SW,CLARION,IA,50525",01/03/2023
4327,WESTVIEW CARE CENTER,BRITT,IA,50423,Hancock,For profit - Corporation,71,ABCM CORPORATION,N,5.0,5.0,3.0,3.0,,0,0.0,0,0,"445 EIGHTH AVENUE SW,BRITT,IA,50423",01/03/2023
4328,CONCORD CARE CENTER,GARNER,IA,50438,Hancock,For profit - Corporation,66,ABCM CORPORATION,N,5.0,5.0,4.0,4.0,,0,0.0,0,0,"490 WEST LYON STREET,GARNER,IA,50438",01/03/2023
4329,OAKWOOD CARE CENTER,CLEAR LAKE,IA,50428,Cerro Gordo,For profit - Corporation,90,ABCM CORPORATION,N,4.0,4.0,4.0,3.0,4.0,1,650.0,0,1,"400 HIGHWAY 18 WEST,CLEAR LAKE,IA,50428",01/03/2023
4330,LAKE MILLS CARE CENTER,LAKE MILLS,IA,50450,Winnebago,For profit - Corporation,78,ABCM CORPORATION,N,5.0,4.0,5.0,3.0,5.0,1,650.0,0,1,"406 SOUTH TENTH AVENUE EAST,LAKE MILLS,IA,50450",01/03/2023
4331,HERITAGE CARE AND REHABILITATION CENTER,MASON CITY,IA,50401,Cerro Gordo,For profit - Corporation,87,ABCM CORPORATION,N,2.0,2.0,3.0,2.0,4.0,2,49440.0,1,3,"501 SOUTH KENTUCKY AVE,MASON CITY,IA,50401",01/03/2023
4332,WESTVIEW OF INDIANOLA CARE CENTER,INDIANOLA,IA,50125,Warren,For profit - Corporation,83,ABCM CORPORATION,N,5.0,5.0,5.0,5.0,5.0,0,0.0,0,0,"1900 WEST THIRD PLACE,INDIANOLA,IA,50125",01/03/2023
4333,ELM CREST RETIREMENT COMMUNITY,HARLAN,IA,51537,Shelby,Non profit - Corporation,71,AMERICAN BAPTIST HOMES OF THE MIDWEST,N,4.0,3.0,5.0,4.0,5.0,1,662.73,0,1,"2104 12TH STREET,HARLAN,IA,51537",01/03/2023
4334,AZRIA HEALTH LONGVIEW,MISSOURI VALLEY,IA,51555,Harrison,For profit - Individual,112,DT VALLEY LLC,N,3.0,3.0,2.0,1.0,4.0,2,10172.5,0,2,"1010 LONGVIEW ROAD,MISSOURI VALLEY,IA,51555",01/03/2023
4335,MILL VALLEY CARE CENTER,BELLEVUE,IA,52031,Jackson,For profit - Corporation,54,RIVERVIEW DEVELOPMENT CORPORATION,N,3.0,2.0,5.0,5.0,,11,120593.57,0,11,"1201 PARK STREET,BELLEVUE,IA,52031",01/03/2023
4336,ANAMOSA CARE CENTER,ANAMOSA,IA,52205,Jones,Non profit - Corporation,64,ANAMOSA NURSING HOME COMPANY LLC,N,4.0,4.0,2.0,3.0,2.0,2,1625.0,0,2,"1209 EAST THIRD STREET,ANAMOSA,IA,52205",01/03/2023
4337,ASPIRE OF PLEASANT VALLEY,PLEASANT VALLEY,IA,52767,Scott,For profit - Corporation,50,RIVERVIEW SNF OPERATOR LLC,N,1.0,1.0,2.0,2.0,,3,40291.84,2,5,"17990 SPENCER ROAD,PLEASANT VALLEY,IA,52767",01/03/2023
4338,WHEATLAND MANOR,WHEATLAND,IA,52777,Clinton,For profit - Corporation,44,WHEATLAND MANOR INC,N,5.0,5.0,5.0,5.0,,0,0.0,0,0,"316 EAST LINCOLNWAY,WHEATLAND,IA,52777",01/03/2023
4339,EDGEWOOD CONVALESCENT HOME,EDGEWOOD,IA,52042,Clayton,For profit - Corporation,56,EDGEWOOD CONVALESCENT HOME INC,N,5.0,5.0,5.0,5.0,5.0,6,8807.4,0,6,"513 BELL STREET,EDGEWOOD,IA,52042",01/03/2023
4340,REHABILITATION CENTER OF BELMOND,BELMOND,IA,50421,Wright,For profit - Corporation,86,ABCM CORPORATION,N,5.0,4.0,5.0,5.0,5.0,0,0.0,0,0,"1107 SEVENTH STREET NE,BELMOND,IA,50421",01/03/2023
4341,WINDSOR PLACE SENIOR LIVING CAMPUS,SIGOURNEY,IA,52591,Keokuk,For profit - Partnership,41,OPCO SIGOURNEY IA LLC,N,1.0,1.0,1.0,1.0,,5,6522.54,0,5,"900 SOUTH STONE STREET,SIGOURNEY,IA,52591",01/03/2023
4342,"ACCURA HEALTHCARE OF KNOXVILLE, LLC",KNOXVILLE,IA,50138,Marion,For profit - Corporation,60,KNOXVILLE CARE PARTNERS LLC,N,1.0,1.0,3.0,3.0,4.0,3,53534.0,0,3,"606 NORTH SEVENTH STREET,KNOXVILLE,IA,50138",01/03/2023
4343,GREENFIELD REHABILITATION & HEALTH CARE CENTER,GREENFIELD,IA,50849,Adair,For profit - Corporation,46,GREENFIELD MANOR INC,N,3.0,3.0,2.0,2.0,,3,79021.8,0,3,"615 SE KENT STREET,GREENFIELD,IA,50849",01/03/2023
4344,SHEFFIELD CARE CENTER,SHEFFIELD,IA,50475,Franklin,Non profit - Corporation,45,SHEFFIELD CARE CENTER,N,2.0,3.0,4.0,4.0,5.0,2,5655.1,0,2,"100 BENNETT DRIVE,SHEFFIELD,IA,50475",01/03/2023
4345,GRANDVIEW HEIGHTS INC,MARSHALLTOWN,IA,50158,Marshall,For profit - Corporation,109,GRANDVIEW HEIGHTS INC,N,1.0,1.0,4.0,2.0,5.0,9,116792.55,0,9,"910 EAST OLIVE,MARSHALLTOWN,IA,50158",01/03/2023
4346,COLONIAL MANOR OF ELMA,ELMA,IA,50628,Howard,For profit - Corporation,57,COLONIAL MANOR OF ELMA INC,N,5.0,5.0,5.0,3.0,5.0,0,0.0,0,0,"407 9TH STREET,ELMA,IA,50628",01/03/2023
4347,ASPIRE OF PRIMGHAR,PRIMGHAR,IA,51245,Obrien,For profit - Limited Liability company,40,PRIMGHAR SNF OPERATOR LLC,N,1.0,1.0,3.0,3.0,,9,265166.67,1,10,"735 NORTH RERICK,PRIMGHAR,IA,51245",01/03/2023
4348,LONE TREE HEALTH CARE CENTER INC,LONE TREE,IA,52755,Johnson,For profit - Corporation,44,LONE TREE HEALTH CARE CENTER INC.,N,4.0,4.0,5.0,5.0,,0,0.0,0,0,"501 EAST PIONEER ROAD,LONE TREE,IA,52755",01/03/2023
4349,ST LUKE'S HELEN G NASSIF TRANSITIONAL CARE CENTER,CEDAR RAPIDS,IA,52402,Linn,Non profit - Corporation,48,S.T.L. CARE COMPANY,N,4.0,3.0,5.0,,5.0,1,657.8,0,1,"1420 UNITYPOINT WAY,CEDAR RAPIDS,IA,52402",01/03/2023
4350,STATE CENTER SPECIALTY CARE,STATE CENTER,IA,50247,Marshall,Non profit - Corporation,39,CARE INITIATIVES,N,2.0,2.0,4.0,4.0,,1,650.0,0,1,"702 THIRD STREET NW,STATE CENTER,IA,50247",01/03/2023
4351,ELKADER CARE CENTER,ELKADER,IA,52043,Clayton,For profit - Corporation,40,ELKADER CARE LLC,N,4.0,4.0,4.0,4.0,,0,0.0,0,0,"116 REIMER STREET SW,ELKADER,IA,52043",01/03/2023
4352,DANVILLE CARE CENTER,DANVILLE,IA,52623,Des Moines,For profit - Individual,40,CARDINAL CARE CORP,N,1.0,1.0,3.0,2.0,4.0,3,64953.68,0,3,"401 S BIRCH STREET,DANVILLE,IA,52623",01/03/2023
4353,RIVER HILLS VILLAGE IN KEOKUK,KEOKUK,IA,52632,Lee,For profit - Corporation,84,"UNLIMITED DEVELOPMENT, INC",N,3.0,3.0,2.0,1.0,4.0,2,13000.0,0,2,"20 VILLAGE CIRCLE,KEOKUK,IA,52632",01/03/2023
4354,HEARTLAND CARE CENTER,MARCUS,IA,51035,Cherokee,Non profit - Corporation,38,HEARTLAND CARE CENTER INC,N,2.0,2.0,1.0,1.0,,0,0.0,0,0,"604 EAST FENTON,MARCUS,IA,51035",01/03/2023
4355,REGENCY CARE CENTER,NORWALK,IA,50211,Warren,For profit - Corporation,101,DSM HEALTHCARE MANAGEMENT,N,3.0,2.0,5.0,5.0,5.0,2,13000.0,0,2,"815 HIGH ROAD,NORWALK,IA,50211",01/03/2023
4356,SIBLEY SPECIALTY CARE,SIBLEY,IA,51249,Osceola,Non profit - Corporation,51,CARE INITIATIVES,N,5.0,5.0,5.0,4.0,5.0,1,657.8,0,1,"700 NINTH AVENUE NORTH,SIBLEY,IA,51249",01/03/2023
4357,ACCURA HEALTHCARE OF MILFORD,MILFORD,IA,51351,Dickinson,For profit - Partnership,50,ACCURA HEALTHCARE OF MILFORD LLC,N,3.0,3.0,4.0,1.0,5.0,1,655.14,0,1,"1600 13TH STREET,MILFORD,IA,51351",01/03/2023
4358,NEW LONDON SPECIALTY CARE,NEW LONDON,IA,52645,Henry,Non profit - Corporation,46,CARE INITIATIVES,N,1.0,1.0,4.0,5.0,3.0,2,79338.0,0,2,"100 CARE CIRCLE STREET,NEW LONDON,IA,52645",01/03/2023
4359,HAPPY SIESTA NURSING HOME,REMSEN,IA,51050,Plymouth,Non profit - Other,62,CORNERSTONE SENIOR COMMUNITIES OF REMSEN,N,3.0,3.0,3.0,3.0,,2,1644.5,0,2,"423 ROOSEVELT ST,REMSEN,IA,51050",01/03/2023
4360,ROCKWELL COMMUNITY NURSING HOM,ROCKWELL,IA,50469,Cerro Gordo,For profit - Corporation,40,"ROCKWELL COMMUNITY NURSING HOME, INC",N,5.0,5.0,5.0,5.0,,0,0.0,0,0,"707 ELM STREET,ROCKWELL,IA,50469",01/03/2023
4361,ACCURA HEALTHCARE OF BANCROFT,BANCROFT,IA,50517,Kossuth,For profit - Limited Liability company,28,ACCURA HEALTHCARE OF BANCROFT LLC,N,5.0,4.0,5.0,5.0,,1,655.1,0,1,"546 EAST RAMSEY STREET,BANCROFT,IA,50517",01/03/2023
4362,SOUTHFIELD WELLNESS COMMUNITY,WEBSTER CITY,IA,50595,Hamilton,For profit - Corporation,88,WEBSTER CARE CORPORATION,N,2.0,2.0,2.0,2.0,2.0,2,25869.65,0,2,"2416 SOUTH DES MOINES STREET,WEBSTER CITY,IA,50595",01/03/2023
4363,EXIRA CARE CENTER,EXIRA,IA,50076,Audubon,Non profit - Corporation,60,EXIRA CARE CENTER CORPORATION,N,1.0,2.0,1.0,1.0,,1,657.8,1,2,"411 SOUTH CARTHAGE,EXIRA,IA,50076",01/03/2023
4364,PLEASANT VIEW HOME,ALBERT CITY,IA,50510,Buena Vista,For profit - Corporation,41,ALBERT CITY IMPROVEMENT CORP,N,2.0,3.0,3.0,3.0,,9,25902.5,0,9,"410 SPRUCE STREET,ALBERT CITY,IA,50510",01/03/2023
4365,"ACCURA HEALTHCARE OF POMEROY, LLC",POMEROY,IA,50575,Calhoun,For profit - Corporation,30,ACCURA HEALTHCARE OF POMEROY LLC,N,4.0,3.0,2.0,2.0,,3,4875.0,0,3,"303 EAST 7TH STREET,POMEROY,IA,50575",01/03/2023
4366,SIMPSON MEMORIAL HOME,WEST LIBERTY,IA,52776,Muscatine,For profit - Corporation,55,SIMPSON MEMORIAL HOME INC,N,1.0,1.0,3.0,1.0,5.0,2,158301.0,0,2,"1000 NORTH MILLER STREET,WEST LIBERTY,IA,52776",01/03/2023
4367,"ACCURA HEALTHCARE OF NEWTON WEST, LLC",NEWTON,IA,50208,Jasper,For profit - Corporation,53,CAREAGE OF NEWTON LLC,N,3.0,2.0,5.0,5.0,,4,4565.12,0,4,"2130 WEST 18TH STREET SOUTH,NEWTON,IA,50208",01/03/2023
4368,"ACCURA HEALTHCARE OF NEWTON EAST, LLC",NEWTON,IA,50208,Jasper,For profit - Corporation,54,NEWTON CARE LLC,N,1.0,1.0,2.0,3.0,2.0,4,6185.15,1,5,"1743 SOUTH EIGHTH AVENUE EAST,NEWTON,IA,50208",01/03/2023
4369,"ACCURA HEALTHCARE OF AMES, LLC",AMES,IA,50010,Story,For profit - Corporation,80,GRAND CARE LLC,N,1.0,1.0,1.0,2.0,1.0,4,167011.75,1,5,"3440 GRAND AVENUE,AMES,IA,50010",01/03/2023
4370,BETHANY LIFE,STORY CITY,IA,50248,Story,Non profit - Other,159,BETHANY MANOR INC,N,3.0,3.0,3.0,2.0,4.0,2,3905.08,0,2,"212 LAFAYETTE STREET,STORY CITY,IA,50248",01/03/2023
4371,"ACCURA HEALTHCARE OF CHEROKEE, LLC",CHEROKEE,IA,51012,Cherokee,For profit - Corporation,48,CHEROKEE CARE LLC,N,5.0,4.0,4.0,4.0,,0,0.0,0,0,"921 RIVERVIEW DRIVE,CHEROKEE,IA,51012",01/03/2023
4372,ASPIRE OF PERRY,PERRY,IA,50220,Dallas,For profit - Limited Liability company,46,PERRY SNF OPERATOR LLC,N,1.0,2.0,2.0,2.0,,24,112573.68,1,25,"2625 IOWA STREET,PERRY,IA,50220",01/03/2023
4373,NEWTON HEALTH CARE CENTER,NEWTON,IA,50208,Jasper,For profit - Corporation,70,OPCO NEWTON IA LLC,N,1.0,1.0,2.0,2.0,2.0,9,116169.9,1,10,"200 SOUTH EIGHTH AVENUE EAST,NEWTON,IA,50208",01/03/2023
4374,CAREAGE HILLS REHABILITATION AND HEALTHCARE,CHEROKEE,IA,51012,Cherokee,For profit - Corporation,44,"CHEROKEE HEALTHCARE, INC.",N,1.0,1.0,2.0,2.0,3.0,1,18960.5,0,1,"725 NORTH SECOND STREET,CHEROKEE,IA,51012",01/03/2023
4375,TITONKA CARE CENTER,TITONKA,IA,50480,Kossuth,Non profit - Other,37,"TITONKA COMMUNITY REST HOME, INC.",N,2.0,1.0,5.0,5.0,,1,12811.5,0,1,"312 FIRST AVENUE NW,TITONKA,IA,50480",01/03/2023
4376,LUTHERAN LIVING SENIOR CAMPUS,MUSCATINE,IA,52761,Muscatine,Non profit - Corporation,155,THE LUTHERAN HOMES SOCIETY,N,2.0,2.0,4.0,3.0,4.0,2,7150.0,0,2,"2421 LUTHERAN DRIVE,MUSCATINE,IA,52761",01/03/2023
4377,FAITH LUTHERAN HOME,OSAGE,IA,50461,Mitchell,Non profit - Church related,60,FAITH LUTHERAN HOME,N,2.0,2.0,4.0,4.0,,23,135580.88,0,23,"914 DAVIDSON DRIVE,OSAGE,IA,50461",01/03/2023
4378,"ACCURA HEALTHCARE OF OGDEN, LLC",OGDEN,IA,50212,Boone,For profit - Corporation,46,OGDEN MANOR LLC,N,3.0,3.0,3.0,4.0,2.0,1,3250.0,1,2,"625 EAST OAK STREET,OGDEN,IA,50212",01/03/2023
4379,"ACCURA HEALTHCARE OF SIOUX CITY, LLC",SIOUX CITY,IA,51104,Woodbury,For profit - Corporation,46,HALLMARK CARE LLC,N,2.0,2.0,3.0,2.0,5.0,5,38635.94,0,5,"3800 INDIAN HILLS DRIVE,SIOUX CITY,IA,51104",01/03/2023
4380,IVY AT DAVENPORT,DAVENPORT,IA,52803,Scott,For profit - Limited Liability company,75,"ACCORDIUS HEALTH AT ST MARY, LLC",N,1.0,1.0,1.0,1.0,1.0,11,358865.84,0,11,"800 EAST RUSHOLME STREET,DAVENPORT,IA,52803",01/03/2023
4381,MAPLE CREST MANOR,FAYETTE,IA,52142,Fayette,For profit - Individual,55,"COLONIAL MANORS OF FAYETTE, INC",N,2.0,2.0,2.0,2.0,,8,73876.86,0,8,"100 BOLGER DRIVE,FAYETTE,IA,52142",01/03/2023
4382,STACYVILLE COMMUNITY NURSING HOME,STACYVILLE,IA,50476,Mitchell,Non profit - Other,34,STACYVILLE COMMUNITY NURSING HOME,N,4.0,4.0,2.0,2.0,,5,6619.91,0,5,"413 SOUTH BROAD STREET,STACYVILLE,IA,50476",01/03/2023
4383,OAKVIEW NURSING AND REHABILITATION,BURLINGTON,IA,52601,Des Moines,For profit - Limited Liability company,60,THE VIEWS OPERATOR C LLC,N,3.0,3.0,4.0,4.0,5.0,8,23614.86,0,8,"1212 INDIAN HILLS DRIVE,BURLINGTON,IA,52601",01/03/2023
4384,WINSLOW HOUSE CARE CENTER,MARION,IA,52302,Linn,Non profit - Corporation,50,WH OPERATIONS LLC,N,3.0,3.0,3.0,3.0,,4,17932.71,0,4,"3456 INDIAN CREEK ROAD,MARION,IA,52302",01/03/2023
4385,SUNNY VIEW CARE CENTER,ANKENY,IA,50023,Polk,For profit - Partnership,94,"ANKENY HEALTHCARE ENTERPRISES, LLC",N,2.0,2.0,4.0,4.0,4.0,4,4572.84,0,4,"410 N W  ASH DRIVE,ANKENY,IA,50023",01/03/2023
4386,WOODLAND TERRACE,WAVERLY,IA,50677,Bremer,Non profit - Corporation,120,BARTELS LUTHERAN HOME,N,3.0,3.0,4.0,4.0,4.0,0,0.0,0,0,"1922 FIFTH AVENUE NW,WAVERLY,IA,50677",01/03/2023
4387,GRAND JI VANTE,ACKLEY,IA,50601,Hardin,Non profit - Other,64,PRESBYTERIAN VILLAGE,N,3.0,3.0,2.0,1.0,3.0,2,1637.6,0,2,"502 BUTLER STREET,ACKLEY,IA,50601",01/03/2023
4388,WEST BEND HEALTH AND REHABILITATION,WEST BEND,IA,50597,Palo Alto,For profit - Corporation,45,PRAIRIE CREEK HEALTHCARE INC,N,3.0,3.0,5.0,5.0,,2,12418.25,0,2,"203 FOURTH STREET NW,WEST BEND,IA,50597",01/03/2023
4389,ASPIRE OF LAKE PARK,LAKE PARK,IA,51347,Dickinson,For profit - Limited Liability company,46,LAKE PARK SNF OPERATOR LLC,N,1.0,1.0,2.0,2.0,,14,51365.5,0,14,"1304 SOUTH MARKET,LAKE PARK,IA,51347",01/03/2023
4390,WESTBROOK ACRES,GLADBROOK,IA,50635,Tama,For profit - Corporation,54,CRYSTAL INC,N,4.0,4.0,4.0,4.0,,1,1325.47,0,1,"605 GARFIELD STREET,GLADBROOK,IA,50635",01/03/2023
4391,MIDLANDS LIVING CENTER L L C,COUNCIL BLUFFS,IA,51503,Pottawattamie,For profit - Corporation,94,"MIDLANDS LIVING CENTER, L.L.P.",N,3.0,3.0,4.0,3.0,5.0,0,0.0,0,0,"2452 NORTH BROADWAY,COUNCIL BLUFFS,IA,51503",01/03/2023
4392,BISHOP DRUMM RETIREMENT CENTER,JOHNSTON,IA,50131,Polk,Non profit - Church related,150,CHI LIVING COMMUNITIES,N,3.0,2.0,5.0,5.0,5.0,1,3250.0,0,1,"5837 WINWOOD DRIVE,JOHNSTON,IA,50131",01/03/2023
4393,"LONGHOUSE-NORTHSHIRE, LTD",SPENCER,IA,51301,Clay,For profit - Corporation,82,"LONGHOUSE-NORTHSHIRE, LTD",N,3.0,2.0,3.0,3.0,3.0,4,61496.5,0,4,"711 WEST 11TH STREET,SPENCER,IA,51301",01/03/2023
4394,PREMIER ESTATES OF TOLEDO,TOLEDO,IA,52342,Tama,For profit - Limited Liability company,75,"PREMIER ESTATES OF TOLEDO, LLC",N,1.0,1.0,3.0,3.0,,1,12610.0,0,1,"403 GRANDVIEW DRIVE,TOLEDO,IA,52342",01/03/2023
4395,ACCURA HEALTHCARE OF MARSHALLTOWN,MARSHALLTOWN,IA,50158,Marshall,For profit - Corporation,84,ACCURA HEALTHCARE OF MARSHALLTOWN LLC,N,3.0,3.0,4.0,4.0,3.0,1,15000.0,0,1,"2401 SOUTH SECOND STREET,MARSHALLTOWN,IA,50158",01/03/2023
4396,WAPELLO SPECIALTY CARE,WAPELLO,IA,52653,Louisa,Non profit - Corporation,49,CARE INITIATIVES,N,1.0,1.0,1.0,1.0,,2,16240.25,0,2,"601 HIGHWAY 61 SOUTH,WAPELLO,IA,52653",01/03/2023
4397,ASPIRE OF WASHINGTON,WASHINGTON,IA,52353,Washington,For profit - Corporation,90,WASHINGTON SNF OPERATOR LLC,N,1.0,1.0,1.0,1.0,,12,48153.66,0,12,"601 E POLK ST,WASHINGTON,IA,52353",01/03/2023
4398,ACCURA HEALTHCARE OF CARROLL,CARROLL,IA,51401,Carroll,For profit - Corporation,70,ACCURA HEALTHCARE OF CARROLL,N,3.0,3.0,5.0,5.0,5.0,9,17676.61,0,9,"2241 NORTH WEST STREET,CARROLL,IA,51401",01/03/2023
4399,ENGLISH VALLEY NURSING CARE CENTER,NORTH ENGLISH,IA,52316,Iowa,For profit - Corporation,60,ENGLISH VALLEY NURSING CARE CENTER INC,N,3.0,4.0,4.0,4.0,,0,0.0,0,0,"150 WEST WASHINGTON ST,NORTH ENGLISH,IA,52316",01/03/2023
4400,ASPIRE OF SUTHERLAND,SUTHERLAND,IA,51058,Obrien,For profit - Limited Liability company,35,SUTHERLAND SNF OPERATOR LLC,N,2.0,2.0,5.0,5.0,,19,96952.96,0,19,"506 EAST FOURTH STREET,SUTHERLAND,IA,51058",01/03/2023
4401,KAREN ACRES CARE CENTER,URBANDALE,IA,50322,Polk,For profit - Corporation,35,CRYSTAL INC,N,5.0,4.0,5.0,5.0,5.0,1,9750.0,0,1,"3605 ELM DRIVE,URBANDALE,IA,50322",01/03/2023
4402,POCAHONTAS MANOR,POCAHONTAS,IA,50574,Pocahontas,For profit - Partnership,60,JP MANOR LLC,N,2.0,2.0,3.0,3.0,,5,11080.05,0,5,"700 NW SEVENTH STREET,POCAHONTAS,IA,50574",01/03/2023
4403,SUNNY HILL CARE CENTER,TAMA,IA,52339,Tama,For profit - Partnership,57,TAMA HEALTH CARE ENTERPRISES LLC,N,5.0,4.0,5.0,5.0,5.0,1,662.73,0,1,"1708 HARDING STREET,TAMA,IA,52339",01/03/2023
4404,CRESTVIEW NURSING & REHAB,WEBSTER CITY,IA,50595,Hamilton,For profit - Corporation,70,"CRESTVIEW NURSING AND REHABILITATION, LLC",N,3.0,3.0,4.0,3.0,5.0,3,24500.0,0,3,"2401 SOUTH DES MOINES STREET,WEBSTER CITY,IA,50595",01/03/2023
4405,NEWALDAYA LIFESCAPES,CEDAR FALLS,IA,50613,Black Hawk,Non profit - Corporation,135,CEDAR FALLS LUTHERAN HOME,N,4.0,4.0,4.0,3.0,5.0,0,0.0,0,0,"7511 UNIVERSITY AVENUE,CEDAR FALLS,IA,50613",01/03/2023
4406,RISEN SON CHRISTIAN VILLAGE,COUNCIL BLUFFS,IA,51503,Pottawattamie,Non profit - Corporation,102,RISEN SON CHRISTIAN VILLAGE,N,1.0,1.0,1.0,1.0,1.0,5,144804.0,1,6,"3000 RISEN SON BOULEVARD,COUNCIL BLUFFS,IA,51503",01/03/2023
4407,"KANAWHA COMMUNITY HOME, INC.",KANAWHA,IA,50447,Hancock,For profit - Limited Liability company,26,"KANAWHA COMMUNITY HOME, INC",N,4.0,4.0,4.0,4.0,,0,0.0,0,0,"130 WEST SIXTH STREET,KANAWHA,IA,50447",01/03/2023
4408,EASTERN STAR MASONIC HOME,BOONE,IA,50036,Boone,Non profit - Corporation,76,EASTERN STAR MASONIC HOME,N,3.0,3.0,3.0,3.0,4.0,1,17175.0,1,2,"715 WEST THIRD STREET,BOONE,IA,50036",01/03/2023
4409,PLEASANTVIEW HOME,KALONA,IA,52247,Washington,For profit - Corporation,80,IOWA MENNONITE BENEVOLENT ASSOCIATION,N,5.0,5.0,3.0,3.0,3.0,12,29255.01,0,12,"811 THIRD STREET,KALONA,IA,52247",01/03/2023
4410,STONEHILL CARE CENTER,DUBUQUE,IA,52001,Dubuque,Non profit - Corporation,214,STONEHILL FRANCISCAN SERVICES,N,5.0,4.0,3.0,1.0,4.0,0,0.0,0,0,"3485 WINDSOR AVENUE,DUBUQUE,IA,52001",01/03/2023
4411,SCENIC MANOR,IOWA FALLS,IA,50126,Hardin,For profit - Corporation,77,SCENIC LIVING COMMUNITIES INC,N,4.0,4.0,3.0,3.0,3.0,0,0.0,0,0,"1409 FREMONT STREET,IOWA FALLS,IA,50126",01/03/2023
4412,SUNRISE RETIREMENT COMMUNITY,SIOUX CITY,IA,51106,Woodbury,Non profit - Other,74,SUNRISE MANOR,N,4.0,2.0,5.0,5.0,5.0,3,22750.0,0,3,"5501 GORDON DRIVE EAST,SIOUX CITY,IA,51106",01/03/2023
4413,THE AMBASSADOR SIDNEY INC,SIDNEY,IA,51652,Fremont,For profit - Corporation,46,THE AMBASSADOR SIDNEY INC,N,3.0,3.0,4.0,4.0,,1,655.01,0,1,"115 MAIN STREET,SIDNEY,IA,51652",01/03/2023
4414,WELLINGTON PLACE,DECORAH,IA,52101,Winneshiek,Non profit - Other,56,"ONEOTA RIVERVIEW CARE FACILITY, INC.",N,4.0,4.0,4.0,5.0,3.0,13,34875.0,0,13,"2479 RIVER ROAD,DECORAH,IA,52101",01/03/2023
