Location Name,Care homes beds,Location Postal Code,Care Services
St Andrew's Nursing and Care Home,45,NG34 9PL,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Valleyview,8,DE11 9AS,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
Albemarle Hall Nursing Home,28,NG5 4FE,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Alexandra Court - Cleveleys,37,FY5 3SZ,Nursing Or Personal Care; Residential Home; Older People
Bedford House,11,CV1 4DE,Nursing Or Personal Care; Residential Home; Mental Health; Young Adults
Cann House Care Home,62,PL5 4LE,Nursing Or Personal Care; Nursing Home; Older People; Physical Disability
Woodview,9,S13 8HU,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
Hillside,2,DE7 5AD,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
West Dean,16,LN1 1HS,Nursing Or Personal Care; Residential Home; Mental Health; Young Adults
Lindum Park House,17,LN2 1NN,Nursing Or Personal Care; Residential Home; Mental Health; Young Adults
Churchview and Larklands,10,DE7 5PA,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
Coppice and Oakside,10,DE7 8TQ,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
Highfields,5,DE11 9AR,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
St Rita's Care Home,60,RH15 0GT,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment
St Clare's Care Home,60,RH15 0GU,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment
Willow House,8,SP4 7AT,Nursing Or Personal Care; Residential Home; LD & Autism; Physical Disability; Young Adults
Evergreen Lodge,12,CR2 7DY,Nursing Or Personal Care; Residential Home; Mental Health
Greenways Rest Home,30,PR5 8JP,Nursing Or Personal Care; Residential Home; Dementia; Older People
Church View Residential Home,29,NN1 4SA,Nursing Or Personal Care; Residential Home; Older People
Rose Belle,7,CM8 2NA,Nursing Or Personal Care; Personal Care; Residential Home; LD & Autism; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
The Tamarind,5,CO12 4RN,Nursing Or Personal Care; Residential Home; LD & Autism
Penshurst,3,PO38 1PF,Nursing Or Personal Care; Residential Home; LD & Autism
Elm Tree House,20,WA12 9YG,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Physical Disability
Ridgeview,4,EN3 4BW,Nursing Or Personal Care; Residential Home; LD & Autism
Hays House Nursing Home,43,SP7 9JR,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
Rathmore House,20,NW3 3EL,Nursing Or Personal Care; Residential Home; Dementia; Older People
Compton Lodge,34,NW3 3BX,Nursing Or Personal Care; Residential Home; Older People; Young Adults
Homemead,30,TW11 0AQ,Nursing Or Personal Care; Residential Home; Dementia; Older People
Cecil Court,45,TW9 3DG,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
Nutbush Cottage,4,RH6 8PP,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Rainscombe House,3,RH6 9SB,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Rainscombe Bungalow,6,RH6 9SB,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
The Lodge Retirement Home,14,PO9 3LH,Nursing Or Personal Care; Residential Home; Older People
Homeleigh Residential Care Home,6,SE18 3NR,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Young Adults
Brinsworth House,38,TW2 5AL,Nursing Or Personal Care; Nursing Home; Older People
Waterhall Care Home,56,MK2 3QH,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
The New Bungalow,6,TN25 7DT,Nursing Or Personal Care; Residential Home; LD & Autism; Physical Disability
Old School House,8,TN28 8ES,Nursing Or Personal Care; Residential Home; LD & Autism
Rosemary Cottage,6,TN26 3RJ,Nursing Or Personal Care; Residential Home; LD & Autism; Physical Disability
Farm House,5,TN26 3RJ,Nursing Or Personal Care; Residential Home; LD & Autism
Holly Cottage,5,TN26 3RJ,Nursing Or Personal Care; Residential Home; LD & Autism
Homelands,8,TN25 7DT,Nursing Or Personal Care; Residential Home; LD & Autism
Ivy Cottage,5,TN26 3RJ,Nursing Or Personal Care; Residential Home; LD & Autism
The Mariners,10,TN31 7JF,Nursing Or Personal Care; Residential Home; LD & Autism
Ravensworth Lodge,24,YO11 1UB,Nursing Or Personal Care; Residential Home; Older People
Keneydon House,21,PE7 1QQ,Nursing Or Personal Care; Residential Home; Dementia; Older People
Hill House,37,PE28 0AG,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
Laurel Villas Limited,24,PR2 1ER,Nursing Or Personal Care; Residential Home; Older People
Longfield Care Home,40,CM9 6DJ,Nursing Or Personal Care; Residential Home; Dementia; Older People
Westdale Residential Care Home,19,NG2 6FG,Nursing Or Personal Care; Residential Home; Dementia; Older People
Winifred Dell Care Home,76,CM13 3AX,Nursing Or Personal Care; Residential Home; Dementia; Older People
Brimstage Manor Nursing Care Home,46,CH63 6HF,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Gillibrand Hall Nursing Care Home,50,PR7 2FW,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
Lytham Court Nursing Care Home,33,FY8 5QG,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Mariners Court Care Home,26,FY7 7JL,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability; Young Adults
New Thursby Nursing Care Home,42,FY8 2RN,Nursing Or Personal Care; Nursing Home; Older People; Young Adults
Ambleside Bank Care Home,40,WN3 4RL,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
Priory Court Nursing Care Home,28,FY8 1AL,Nursing Or Personal Care; Nursing Home; Older People; Young Adults
Brookmead,5,RH11 0HP,Nursing Or Personal Care; Residential Home; LD & Autism; Older People; Young Adults
Longford,6,RH6 7DS,Nursing Or Personal Care; Residential Home; LD & Autism; Older People; Young Adults
Malvern House,6,RH6 7HA,Nursing Or Personal Care; Residential Home; LD & Autism; Older People; Young Adults
Mill Green,6,RH19 2PF,Nursing Or Personal Care; Residential Home; LD & Autism; Older People; Young Adults
ShawCare@HighWray,34,L39 7HG,Nursing Or Personal Care; Residential Home; Older People; Physical Disability
Shrewsbury House,5,RH1 3LH,Nursing Or Personal Care; Residential Home; LD & Autism; Older People; Young Adults
Spring Park,4,RH7 6AF,Nursing Or Personal Care; Residential Home; LD & Autism; Older People; Young Adults
Wood Close,6,RH1 5EE,Nursing Or Personal Care; Residential Home; LD & Autism; Older People; Young Adults
Woodlands Residential Home for Ladies,23,CO3 3SP,Nursing Or Personal Care; Residential Home; Older People
Easterbrook Farm,12,EX20 3QY,Nursing Or Personal Care; Residential Home; LD & Autism
Miramar Care Home,108,CT6 6PX,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability
Valmark House,4,CO4 5LJ,Nursing Or Personal Care; Residential Home; LD & Autism
Mill House,4,CO4 5LJ,Nursing Or Personal Care; Residential Home; LD & Autism
Stoke View Residential Home,9,PL2 1AF,Nursing Or Personal Care; Residential Home; LD & Autism
Eirenikon Park Residential Home,13,PL34 0AE,Nursing Or Personal Care; Personal Care; Residential Home; Older People
Rodlands Care Home,21,DT3 5HE,Nursing Or Personal Care; Residential Home; Older People
Addington House,6,CR2 8RB,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health
Lezayre Nursing Home,36,CH42 4RB,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Vibrance - 138-138a Mason Way,10,EN9 3EJ,Nursing Or Personal Care; Residential Home; LD & Autism
Vibrance - 24A Corporation Road,8,CM1 2AR,Nursing Or Personal Care; Residential Home; LD & Autism
Pinewood & Hollywood,8,CO1 2HP,Nursing Or Personal Care; Residential Home; LD & Autism
Dunelm,12,RM6 4XJ,Nursing Or Personal Care; Nursing Home; LD & Autism
Vibrance - 1 Parkstone Avenue,8,SS7 1SP,Nursing Or Personal Care; Residential Home; LD & Autism; Physical Disability
Larwood,8,RM15 5JY,Nursing Or Personal Care; Residential Home; LD & Autism
Vibrance - 2 - 3 Orchard Close,14,E11 2DH,Nursing Or Personal Care; Residential Home; Mental Health
Our House,5,IG8 0EP,Nursing Or Personal Care; Residential Home; LD & Autism
Rook Lodge,10,IG1 3UB,Nursing Or Personal Care; Residential Home; Mental Health
Vibrance - 16 Sylvan Road,6,E11 1QN,Nursing Or Personal Care; Residential Home; Mental Health
Vibrance - 83 Glengall Road,7,IG8 0DP,Nursing Or Personal Care; Residential Home; LD & Autism
Areley House,37,DY13 0AB,Nursing Or Personal Care; Residential Home; Dementia; Older People
Nightingales Nursing Home,55,FY5 1PB,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Allonsfield House,53,IP13 0PX,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Downham Grange,62,PE38 9PA,Nursing Or Personal Care; Nursing Home; Older People
Heron Lodge,30,NR12 8RZ,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
Kirkley Manor,71,NR33 0LQ,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
Lynfield,9,NR35 2JL,Nursing Or Personal Care; Residential Home; LD & Autism; Older People; Young Adults
Wisteria House,7,IP3 9QB,Nursing Or Personal Care; Residential Home; LD & Autism; Older People; Young Adults
The Limes,5,RG22 4BT,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
Elizabeth House Care Home Adults,20,PO4 0PP,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Young Adults
St Margarets Nursing Home,32,TR9 6LX,Nursing Or Personal Care; Nursing Home; Older People
Crystal Hall,67,PR3 2JE,Nursing Or Personal Care; Nursing Home; Mental Health; Young Adults
Rosamar,10,BS23 3DW,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Older People; Physical Disability; Sensory Impairment
Elms House,6,BB7 1BG,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health
Jennifer's Lodge,8,SE6 1HN,Nursing Or Personal Care; Residential Home; Dementia; Older People
Quinton House,4,NG17 8JR,Nursing Or Personal Care; Residential Home; LD & Autism
The Evergreens,25,BH3 7JJ,Nursing Or Personal Care; Residential Home; Older People; Young Adults
Woodland Nursing Home,30,IG1 1SN,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability
Brockholes Brow - Preston,34,PR1 5BB,Nursing Or Personal Care; Residential Home; Sensory Impairment
Somerforde Limited,30,TQ12 1DE,Nursing Or Personal Care; Residential Home; Older People; Physical Disability
Hampton Court Care Home,80,WV14 0LR,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People
Meadowcroft Care Home,20,BN43 5UB,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
Beverley Park Nursing Home,18,M32 9DA,Nursing Or Personal Care; Nursing Home; Older People
Colne House,38,CO6 2LT,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Young Adults
The Queen Charlotte,51,DT3 4DQ,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Young Adults
Highcliffe Nursing Home,62,BH23 5JS,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
The Belvedere,41,SK9 7QP,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
New Forest Nursing Home,48,SO43 7HH,Nursing Or Personal Care; Nursing Home; Older People; Physical Disability
Cedar Lawn Nursing Home,30,SO51 7US,Nursing Or Personal Care; Nursing Home; Older People; Physical Disability; Young Adults
Waverley Lodge Nursing Home,26,SO51 6FD,Nursing Or Personal Care; Nursing Home; Older People; Physical Disability
Dunwood Manor Nursing Home,55,SO51 6FD,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability
Rosevilla Residential Home,43,WA5 4EE,Nursing Or Personal Care; Residential Home; Dementia; Older People
Lime Court Care Home,44,CO12 4DE,Nursing Or Personal Care; Residential Home; Dementia; Older People
Sweyne Court Care Home,43,SS6 8EB,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
Hyde Lea,19,BL1 6PG,Nursing Or Personal Care; Residential Home; Dementia; Older People
Tudor House,23,B30 3QN,Nursing Or Personal Care; Residential Home; Dementia; Older People
Woodland Hall,72,HA7 3BG,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Physical Disability
Franklin House,66,UB7 7PW,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Physical Disability; Young Adults
Bings Hall,17,CM6 3EP,Nursing Or Personal Care; Residential Home; Dementia; Older People
Shearwater,60,PO4 8QW,Nursing Or Personal Care; Residential Home; Dementia; Older People
Russets,18,PO2 0TX,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
Buckingham Care Home,72,S36 6BS,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability; Young Adults
Higher Bank,22,BB2 6EU,Nursing Or Personal Care; Residential Home; Older People
Neath Hill Care Home,47,MK14 6NS,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
Dovecote Manor Care Home,43,MK3 6EN,Nursing Or Personal Care; Nursing Home; Dementia; Older People
The Avenue Community Nursing Home,13,TS5 6PE,Nursing Or Personal Care; Nursing Home; Mental Health; Young Adults
Saxon Lodge Residential Home Limited,23,CT4 5LT,Nursing Or Personal Care; Residential Home; Dementia; Older People
Fairhaven Care Home,22,FY7 7JL,Nursing Or Personal Care; Residential Home; Older People; Young Adults
St Ronans Nursing and Residential Care Home,46,PO4 0PP,Nursing Or Personal Care; Nursing Home; Dementia; LD & Autism; Mental Health; Older People; Eating Disorder; Physical Disability; Sensory Impairment; Young Adults
Clarence House Care Home,33,DN20 8HS,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Physical Disability; Young Adults
Linden House,75,SO41 9BP,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Magnolia Court,2,SW16 2PL,Nursing Or Personal Care; Residential Home; LD & Autism
Four Rivers Nursing Home,40,SY8 1DW,Nursing Or Personal Care; Nursing Home; Dementia; Older People
Northam Lodge,25,EX39 3QB,Nursing Or Personal Care; Residential Home; LD & Autism; Physical Disability; Sensory Impairment; Young Adults
St Mary's Gate Euxton,4,PR7 6AH,Nursing Or Personal Care; Residential Home; Childrens Home; LD & Autism; Older People; Physical Disability; Sensory Impairment; Young Adults
Hawthorne Nursing Home,36,NG6 8UU,Nursing Or Personal Care; Nursing Home; Residential Home; Dementia; Older People; Young Adults
Stubby Leas Nursing Home,48,WS13 8PT,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Sands Lodge,18,SS0 8LL,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health
Swan Care Residential Home,21,CM0 7TR,Nursing Or Personal Care; Residential Home; Dementia; Older People
Amberley Court Care Home,39,L35 9JZ,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability
Withins (Breightmet) Limited,65,BL2 5DZ,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Older People; Physical Disability
St Josephs Nursing Home,24,BN17 6AU,Nursing Or Personal Care; Nursing Home; Older People
St Annes Residential Care Home,19,RH15 8EL,Nursing Or Personal Care; Residential Home; Older People
Rowles House Limited,26,LU3 2BB,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
Summon Bonum,9,TQ1 3JE,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Mental Health; Older People; Physical Disability; Young Adults
Rosemary Residential Care Home,10,BS16 2HB,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Older People; Young Adults
St Brendans Residential Home,26,LU1 1JW,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Physical Disability; Young Adults
Rosedale Nursing Home,68,DL9 4DD,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability
Willowdene Care Home,48,TS21 3ET,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
The Well House,14,BN27 4AJ,Nursing Or Personal Care; Residential Home; LD & Autism; Physical Disability
The Dales Care Home,31,CH48 5HW,Nursing Or Personal Care; Personal Care; Residential Home; Dementia; Older People; Physical Disability
Forge House,6,ME5 9LY,Nursing Or Personal Care; Residential Home; Supported Living; LD & Autism; Mental Health; Eating Disorder; Young Adults
United Response - 9 Blunt Street,5,DE7 6FZ,Nursing Or Personal Care; Residential Home; LD & Autism; Physical Disability
United Response - 16 Mansfield Road,4,DE75 7AJ,Nursing Or Personal Care; Residential Home; LD & Autism
United Response - 1 St Alphege Road,5,CT16 2PU,Nursing Or Personal Care; Residential Home; Mental Health
Aspen Place,52,RH13 6BW,Nursing Or Personal Care; Nursing Home; Dementia; LD & Autism; Older People; Young Adults
Lakewood Court,18,TF1 3JR,Nursing Or Personal Care; Residential Home; LD & Autism
The Good Companions (Cumbria) Limited,39,CA7 4BT,Nursing Or Personal Care; Residential Home; Dementia; Older People
Goldenley Care Home,41,SS7 5HE,Nursing Or Personal Care; Residential Home; Dementia; Older People
Gombards,8,AL6 9EL,Nursing Or Personal Care; Residential Home; LD & Autism; Physical Disability
United Response - 66 & 66a Lemsford Road,11,AL1 3PT,Nursing Or Personal Care; Residential Home; LD & Autism; Physical Disability
United Response - 131 Kneller Road,6,TW2 7DY,Nursing Or Personal Care; Residential Home; LD & Autism
United Response - 16 Curtis Road,4,TW4 5PT,Nursing Or Personal Care; Residential Home; LD & Autism
United Response - 198 Powder Mill Lane,5,TW2 6EJ,Nursing Or Personal Care; Residential Home; LD & Autism
United Response - 60 Woodland Way,6,CR4 2DY,Nursing Or Personal Care; Residential Home; LD & Autism
United Response - 26 Tennyson Road,5,PO21 2SB,Nursing Or Personal Care; Residential Home; LD & Autism
United Response - 74 Oaklands,4,SN15 1RQ,Nursing Or Personal Care; Residential Home; LD & Autism
United Response - 9 Beverley Road North,5,FY8 3EU,Nursing Or Personal Care; Residential Home; LD & Autism
United Response - 47 Doublegates Green,5,HG4 2TS,Nursing Or Personal Care; Residential Home; LD & Autism; Physical Disability
United Response - 4 Highgate Park,4,HG1 4PA,Nursing Or Personal Care; Residential Home; LD & Autism; Physical Disability
United Response - 14 Lingwell Approach,4,LS10 4TJ,Nursing Or Personal Care; Residential Home; LD & Autism; Physical Disability
United Response - 2a St Alban's Close,4,LS9 6LE,Nursing Or Personal Care; Residential Home; LD & Autism; Physical Disability
United Response - 21 North View,6,NE32 5JQ,Nursing Or Personal Care; Residential Home; LD & Autism; Physical Disability
St Oswalds,42,WA2 8SZ,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Sensory Impairment; Young Adults
Langley Lodge Residential Home,20,PE13 2PE,Nursing Or Personal Care; Residential Home; Older People
Camplehaye Residential Home,44,PL19 8QD,Nursing Or Personal Care; Residential Home; Dementia; Older People
SummerHill,6,SS9 3ET,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
SummerView,6,SS0 8DU,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Mental Health; Older People; Sensory Impairment; Young Adults
SummerLodge,6,SS0 8EN,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
SunFlowers,6,SS0 8DU,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Eton House Residential Home,26,SL3 9AY,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
Belvoir Vale Care Home,62,NG12 5QL,Nursing Or Personal Care; Residential Home; Dementia; Older People
Nutten Stoven Residential Home,30,PE12 8AA,Nursing Or Personal Care; Residential Home; Dementia; Older People
Cedar Court,13,TQ3 2AD,Nursing Or Personal Care; Residential Home; LD & Autism; Older People; Physical Disability; Sensory Impairment; Young Adults
The Pembury,8,GL4 6UE,Nursing Or Personal Care; Residential Home; LD & Autism
Fairfield Care Ltd,1,WA15 0QZ,Nursing Or Personal Care; Personal Care; Residential Home; Childrens Home; Dementia; LD & Autism; Mental Health; Older People; Young Adults
Dapplemere Nursing Home,22,WD3 5HA,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment
Nightingale House,21,TW1 3AE,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability; Sensory Impairment
Peartree Care Home,75,SE26 5HF,Nursing Or Personal Care; Nursing Home; Dementia; Older People
Primrose Bank Care Home,44,FY6 7HJ,Nursing Or Personal Care; Residential Home; Older People
Hazelford Care Home,36,NG14 7FT,Nursing Or Personal Care; Residential Home; Dementia; Older People
Southport Rest Home Limited,25,PR9 9LN,Nursing Or Personal Care; Residential Home; Older People
Bon Accord,41,BN3 4BB,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Cypress Court,60,CW1 3DH,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Summerleigh,3,DY9 9PB,Nursing Or Personal Care; Residential Home; LD & Autism
Flexible Support Options Limited (Pengarth),5,NE61 5HU,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Emmaus House,23,HG2 0JS,Nursing Or Personal Care; Residential Home; Dementia; Older People
Flexible Support Options Limited (Brilan),4,NE6 2DB,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Flexible Support Options Limited (Thorntree Way),10,NE24 4LS,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Midfield Lodge,61,CB24 3BG,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
Rutland House Nursing Home,18,RH2 9DB,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment
Downside House,21,PO38 1PJ,Nursing Or Personal Care; Residential Home; Dementia; Older People
Legh House,19,DT4 9QB,Nursing Or Personal Care; Residential Home; Older People
Expect Limited - 6 Belvidere Park,3,L23 0SP,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Older People; Young Adults
Burnt Tree Croft,40,S3 7JY,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
Cotleigh,62,S12 4JB,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
Deerlands,40,S5 9LS,Nursing Or Personal Care; Residential Home; Older People; Young Adults
Housteads,40,S13 8HX,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
Springwood,40,S5 8TN,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
Hollins Lodge Care Home,31,FY4 1RG,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability; Sensory Impairment; Young Adults
Innovations Wiltshire Limited - 20 Stratton Road,3,SN9 5DY,Nursing Or Personal Care; Residential Home; LD & Autism
Merlin's Barrow,4,SN8 4BT,Nursing Or Personal Care; Residential Home; LD & Autism
Innovations Wiltshire Limited - 10 The Crescent,5,SN9 5DP,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Older People; Young Adults
Innovations Wiltshire Limited - 27 Stratton Road,4,SN9 5DY,Nursing Or Personal Care; Residential Home; LD & Autism
Mount Olivet Nursing Home,30,TQ3 2DY,Nursing Or Personal Care; Nursing Home; Dementia
Kingsmount Residential Home,32,TQ3 2LT,Nursing Or Personal Care; Residential Home; Dementia; Older People
Expect Limited - 13 Elm Road,3,L21 1BJ,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Older People; Young Adults
Wall Hill Care Home Limited,35,ST13 5QA,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Physical Disability
St Michael's Care Home,44,CO15 6JW,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability; Sensory Impairment
Carlton Drive Short Breaks Service,7,LE18 1DE,Nursing Or Personal Care; Residential Home; LD & Autism; Physical Disability; Sensory Impairment; Young Adults
Melton Short Breaks Service,6,LE13 0GG,Nursing Or Personal Care; Residential Home; LD & Autism; Physical Disability; Sensory Impairment; Young Adults
The Trees,19,LE10 0XD,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Towneley House,22,BB11 3HA,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
Ashfield Court - Harrogate,45,HG2 8JG,Nursing Or Personal Care; Nursing Home; Older People; Physical Disability
Avondale Mental Healthcare Centre,54,L35 7LS,Nursing Or Personal Care; Nursing Home; Mental Health
Doves Nest Nursing Home,50,M40 1QQ,Nursing Or Personal Care; Nursing Home; Residential Home; Older People; Physical Disability; Young Adults
Alton House Care Home - Hayling Island,18,PO11 9BN,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Young Adults
Grange Cottage Residential Home,33,SM2 6RS,Nursing Or Personal Care; Residential Home; Dementia; Older People
Lane House Residential Care Home,33,B79 7SF,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability; Sensory Impairment
The Chiltern Centre,4,RG9 1QR,Nursing Or Personal Care; Residential Home; Childrens Home; LD & Autism; Physical Disability; Sensory Impairment; Young Adults
Forest Hill House Nursing Home,36,BH21 3RT,Nursing Or Personal Care; Nursing Home; Older People
Larks Leas,24,DT11 7DE,Nursing Or Personal Care; Residential Home; Older People
Castle Farm Care Home,22,BH16 6BZ,Nursing Or Personal Care; Residential Home; Older People
The Old Vicarage,38,NN16 9UP,Nursing Or Personal Care; Nursing Home; Older People
Downs House,49,GU32 2HX,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability
Stroud House,25,GU32 3PQ,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Physical Disability
St Bernards Residential Care Home Limited,43,B92 7BP,Nursing Or Personal Care; Residential Home; Dementia; Older People
Allerton Court,48,B71 2ED,Nursing Or Personal Care; Residential Home; Dementia; Older People
Eversleigh Nursing Home,42,CV32 5QN,Nursing Or Personal Care; Nursing Home; Older People
St Anne's Residential Care Home,9,BN21 2DJ,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Young Adults
Woodheath Care Home,61,CH49 0TF,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Sensory Impairment; Young Adults
Lifeways Community Care (South Shields),4,NE34 0PJ,Nursing Or Personal Care; Residential Home; LD & Autism; Older People
Ashgrove Care Home - Humberstone,56,DN35 0PS,Nursing Or Personal Care; Nursing Home; Residential Home; Dementia; Older People; Physical Disability; Young Adults
Mowbray Nursing Home,39,WR14 2TF,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability
Ideal Home,50,SY3 5DH,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Physical Disability; Young Adults
Wordsley Hall,44,DY8 5SX,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
Grays Court,87,RM17 6EG,Nursing Or Personal Care; Nursing Home; Dementia; Older People
Karam Court Care Home,47,B66 1QX,Nursing Or Personal Care; Residential Home; Dementia; Older People
Broadgate Care Home,40,NG9 2GG,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Falcon House Care Home,46,NG9 1FX,Nursing Or Personal Care; Residential Home; Dementia; Older People
Hamshaw Court,45,HU3 3AG,Nursing Or Personal Care; Residential Home; Dementia; Older People
